input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,emails
2b496f65-b3a1-49af-959f-6374b51282dd,https://www.google.com/maps/place/Medicals+in+India+%7C+Hospitals+in+India/data=!4m7!3m6!1s0x390cfd309eebed77:0x71f5da0d9bf110a5!8m2!3d28.568095!4d77.186618!16s%2Fg%2F1tfjjhtd!19sChIJd-3rnjD9DDkRpRDxmw3a9XE?authuser=0&hl=en&rclk=1,Medicals in India | Hospitals in India,Medical Center,"B-138, Fourth Floor, Mohammadpur, Bhikaji Cama Place, New Delhi, Delhi 110066",{},{},,,"H59P+6J New Delhi, Delhi",3,4.000000,"{""1"":0,""2"":1,""3"":0,""4"":0,""5"":2}",28.568095,77.186618,8211709247565664421,,,https://search.google.com/local/reviews?placeid=ChIJd-3rnjD9DDkRpRDxmw3a9XE&q=Medicals+in+India+%7C+Hospitals+in+India&authuser=0&hl=en&gl=IN,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JzBbGOPZ0l1f8PAxZ82bTw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=188.09502&pitch=0&thumbfov=100,Asia/Calcutta,,0x390cfd309eebed77:0x71f5da0d9bf110a5,"[{""title"":""All"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JzBbGOPZ0l1f8PAxZ82bTw\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=188.09502\u0026pitch=0\u0026thumbfov=100""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JzBbGOPZ0l1f8PAxZ82bTw\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=188.09502\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""100833852887573089599"",""name"":""Medicals in India | Hospitals in India (Owner)"",""link"":""https://www.google.com/maps/contrib/100833852887573089599""}","{""borough"":""Bhikaji Cama Place, Rama Krishna Puram"",""street"":""B-138, Fourth Floor, Mohammadpur, Bhikaji Cama Place"",""city"":""New Delhi"",""postal_code"":""110066"",""state"":""Delhi"",""country"":""IN""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]","[{""Name"":""Arti sajwan"",""ProfilePicture"":""https://lh3.googleusercontent.com/a/ACg8ocJdusVAfn7MGZKckJ9aDici6X4NyQL2isBGHnRxoU-2EQL73g=s120-c-rp-mo-br100"",""Rating"":5,""Description"":""Dr megha ma'am she is very good"",""Images"":null,""When"":""""},{""Name"":""md shahid Raees is good"",""ProfilePicture"":""https://lh3.googleusercontent.com/a/ACg8ocIryQHjxivT3coUZ8aGs3f3BmMV6lQFx07dXh1OEEfM8NpQ0Q=s120-c-rp-mo-ba2-br100"",""Rating"":5,""Description"":""Good"",""Images"":[""www.google.com/local/imagery/report/?cb_client=maps_sv.tactile\u0026image_key=!1e10!2sAF1QipPOCE2p9ip7JbeNi_Hn8dVeSoBZfHShn3VZOHzH\u0026fid=0x0:0x71f5da0d9bf110a5""],""When"":""2017-12-24""},{""Name"":""King Khan"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjURD7mOAWtP3DpfI9YQKrOo78AkgWTuuczYSWDo8KNls15Ehbw=s120-c-rp-mo-br100"",""Rating"":2,""Description"":""New dlhi"",""Images"":null,""When"":""""}]",
2b496f65-b3a1-49af-959f-6374b51282dd,"https://www.google.com/maps/place/Medical+Center,+INA+Colony/data=!4m7!3m6!1s0x390ce2623c7299d1:0x64e649b7ee719adc!8m2!3d28.5751049!4d77.2107916!16s%2Fg%2F11dyzl8jkw!19sChIJ0ZlyPGLiDDkR3Jpx7rdJ5mQ?authuser=0&hl=en&rclk=1","Medical Center, INA Colony",Hospital,"H6G6+28V Medical Center, INA Colony, Aviation Colony, INA Colony, New Delhi, Delhi 110023","{""Friday"":[""8 am–4 pm""],""Monday"":[""8 am–4 pm""],""Saturday"":[""8 am–1 pm""],""Sunday"":[""Closed""],""Thursday"":[""8 am–4 pm""],""Tuesday"":[""8 am–4 pm""],""Wednesday"":[""8 am–4 pm""]}",{},,011 2465 5834,,0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",28.575105,77.210792,7270579702764509916,Closed ⋅ Opens 8 am Fri,,,,Asia/Calcutta,,0x390ce2623c7299d1:0x64e649b7ee719adc,[],null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Medical Center, INA Colony (Owner)"",""link"":""""}","{""borough"":""Aviation Colony, INA Colony"",""street"":""H6G6+28V"",""city"":""New Delhi"",""postal_code"":""110023"",""state"":""Delhi"",""country"":""IN""}",null,null,
2b496f65-b3a1-49af-959f-6374b51282dd,https://www.google.com/maps/place/All+India+Institute+of+Medical+Sciences+%28AIIMS%29+New+Delhi/data=!4m7!3m6!1s0x390ce265fa4d97ab:0x525929da7d341ae1!8m2!3d28.5675812!4d77.2098478!16s%2Fg%2F11b8v67gdm!19sChIJq5dN-mXiDDkR4Ro0fdopWVI?authuser=0&hl=en&rclk=1,All India Institute of Medical Sciences (AIIMS) New Delhi,Hospital,"Ansari Nagar East, Gautam Nagar, Ansari Nagar East, New Delhi, Delhi 110029","{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}",{},http://www.aiims.edu/,011 2658 8500,"H695+2W New Delhi, Delhi",1888,4.200000,"{""1"":188,""2"":49,""3"":116,""4"":291,""5"":1244}",28.567581,77.209848,5933820002417515233,Open 24 hours,,https://search.google.com/local/reviews?placeid=ChIJq5dN-mXiDDkR4Ro0fdopWVI&q=All+India+Institute+of+Medical+Sciences+(AIIMS)+New+Delhi&authuser=0&hl=en&gl=IN,https://lh5.googleusercontent.com/p/AF1QipMg_bclaz43hz2EerANtm6syXSubmsN0y1GK_fJ=w408-h306-k-no,Asia/Calcutta,,0x390ce265fa4d97ab:0x525929da7d341ae1,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMg_bclaz43hz2EerANtm6syXSubmsN0y1GK_fJ=w397-h298-k-no""},{""title"":""Latest"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPPWTKp28g82WMwnfD1GjR7dRhktoiL_4Lx6cpn=w397-h298-k-no""},{""title"":""Videos"",""image"":""https://lh3.googleusercontent.com/p/AF1QipMa0Ca-TB_Wrwv92ygz6GP3BABWbYmX6vV58ppw=w224-h397-k-no""},{""title"":""Building"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPciaC6BWQA8uMhODQeWWwGtCZfUsHjYbFIOCdl=w224-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""118260133683834541934"",""name"":""All India Institute of Medical Sciences (AIIMS) New Delhi (Owner)"",""link"":""https://www.google.com/maps/contrib/118260133683834541934""}","{""borough"":""Ansari Nagar East, Gautam Nagar, Ansari Nagar East"",""street"":"""",""city"":""New Delhi"",""postal_code"":""110029"",""state"":""Delhi"",""country"":""IN""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""On-site services"",""enabled"":true}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]","[{""Name"":""Pashupati Jha"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjVAo4JmniREnyZjrtHZft-A-KYHpHpH7IJ2kRqqCge2XHYj17Olqw=s120-c-rp-mo-ba5-br100"",""Rating"":5,""Description"":""AIIMS Delhi in India is an excellent hospital having excellent infrastructure offering comprehensive solutions for various diseases. I have personally experienced its exceptional care during the cardiac surgeries of two close relatives, both of which were successful and conducted at a fraction of the cost charged by private corporate hospitals. Additionally, it provides outstanding cancer care. My father is currently undergoing cancer treatment at AIIMS Delhi, and the experience has been highly satisfactory.\n\nAppointments can be easily scheduled through their online portal by searching “AIIMS Delhi online appointment” on Google. The only challenge is that patients may need to invest some time to access services. However, considering the world-class treatment provided, the wait is worth it. Based on my personal experience, I highly recommend AIIMS Delhi. 😊"",""Images"":[""www.google.com/local/imagery/report/?cb_client=maps_sv.tactile\u0026image_key=!1e10!2sAF1QipO6vKWXwJkwZ95wjBg2istBAIR0G8z6yDKmD3uS\u0026fid=0x0:0x525929da7d341ae1""],""When"":""2025-1-1""},{""Name"":""TEJASVEE PRATAP SINGH"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjUuDWLfD-oBsw_cihoE5u0F6WnHQ0rLEHKlDlE6JU18WYYrcmko=s120-c-rp-mo-ba4-br100"",""Rating"":5,""Description"":""This is the best hospital in our country. Minimum amount of fee is charged for facilities. Best doctor available compare to anywhere in the world. Best facilities and treatment available. You just have time for treatment because there is too much waiting period."",""Images"":[""www.google.com/local/imagery/report/?cb_client=maps_sv.tactile\u0026image_key=!1e10!2sAF1QipNq8lK8o89P8LyZHBYYXOYqgsGs9xzF6lWqLq3B\u0026fid=0x0:0x525929da7d341ae1""],""When"":""2024-10-27""},{""Name"":""Manjeet Choudhary"",""ProfilePicture"":""https://lh3.googleusercontent.com/a/ACg8ocJ8EUuA2DLqUiZhnjDFTdjkiowt65b8w-VReX1oQ75cYI-C8QBk=s120-c-rp-mo-ba4-br100"",""Rating"":3,""Description"":""To get treatment here, you have to take online appointment in advance or its slots are booked 1 month in advance. Or after standing in line at 2 AM at night, you get a token at 7 AM in the morning. Only the 30-40 people in line get the token. That's why the earlier you get in line, the better it is.\nThe common man does not get any special benefit because his number is not known. this arrangement should be reported"",""Images"":[""www.google.com/local/imagery/report/?cb_client=maps_sv.tactile\u0026image_key=!1e10!2sAF1QipO01QDLEILI_spHzM-fLNH8zeD5hM-mkRCVgIEN\u0026fid=0x0:0x525929da7d341ae1""],""When"":""2024-5-17""},{""Name"":""Dhirendra m. Dimri"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjWqaX8oMoXjMuLEqU3YlPO4tvzEMy0ebOpEbxebUTqOYZVa4fq4=s120-c-rp-mo-ba4-br100"",""Rating"":5,""Description"":""AIIMS is a hospital for everyone from the poor to the rich. No other private hospital is equipped with so many facilities. The country trusts it. There is cleanliness and reliable doctors in this hospital. New Delhi"",""Images"":[""www.google.com/local/imagery/report/?cb_client=maps_sv.tactile\u0026image_key=!1e10!2sAF1QipNfivJTqMbyc7OKJq6n-weZ3350RWt6DGTfFEq6\u0026fid=0x0:0x525929da7d341ae1""],""When"":""2024-10-8""},{""Name"":""Prerna Garg"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjVKullrRjT2vy6rsYVdQ3fWh2el2Ku5EpaizLwMxeabt8wBZJMPBg=s120-c-rp-mo-ba5-br100"",""Rating"":1,""Description"":""Today, I went to a hospital for the very first time in my life. I went on my friend’s recommendation for my daughter’s eye, just for a second opinion. I reached the hospital at 8:20am, but the parking was quite far, which took us almost 30 minutes to park and walk back to the eye center department. After waiting in line for an hour, we took a token. The guards guided us in taking the token online by downloading the “Driefcase” app.\n\nIf you are coming here, make sure you have patience, calmness, time, and a lot of energy to run from one place to another. After running from place to place, from taking the token to the doctor writing for dilation, then going for dilation, and back to the doctor for consultation, our number finally came around 2:10 pm. There was only one doctor, Saurav Banarjee, who must be around 25 (Sitting in Room no. 20) .I noticed he was quite frustrated and losing his patience, repeatedly asking how many patients were left. Towards the end, he was just checking patients for the sake of it and sending them to other rooms.\n\nA lady, who seemed to be around 55, was in front of my daughter. She had a lot of issues, and I could see the doctor was frustrated, but he took almost 30 minutes to check her. Then it was my daughter’s turn. During the examination, when the doctor used a light, my daughter started crying. She is 12 years old and usually cries if a light comes straight into her eyes, though it happens occasionally. The doctor, Mr. Saurav, told me to console her outside and started seeing his next patient. I consoled her there, and she stopped crying, but he forcefully told us to go outside. After five minutes, we came back and waited patiently. He still ignored us and treated 2-4 patients. I requested twice, and he said, “Mein dekh lunga but last me. Mein mana nahi kar raha” (I will check her but last, after all the patients in line).\n\nI got furious because my daughter was now calm. If he could give 30 minutes to the lady, why not to my daughter? That was my only question. But he chose to ignore me and continued treating other patients. He wrenched the card from my daughter’s hand and wrote, “no treatment will happen in any AIIMS.” Seriously??? Damon! This is how government doctors are. Because of such doctors, government hospitals have a bad reputation. Well! I don’t care as I was there only for second opinion. Also he said “I don’t care whatever you’re saying.” Woah!!! Slow claps 👏🏼👏🏼👏🏼\nAlso, A lady doctor told me, “He’s frustrated as he’s been seeing patients since morning.” Are you serious? It’s your job. If you have such complaints, work in private hospitals or open a clinic. What about us who wake up at 6 am, do all the work, leave home at 7:30, reach at 8:30, and run around like ninjas? Are we complaining?\n\nGosh! These government hospitals. God bless the people who have to handle their tantrums.\n\nMr. Saurav, learn some etiquette. Becoming a doctor doesn’t make you a human being."",""Images"":[""www.google.com/local/imagery/report/?cb_client=maps_sv.tactile\u0026image_key=!1e10!2sAF1QipOmbRM4f3wnhz84FhkuYidn-N3bVonJ1ATa36qf\u0026fid=0x0:0x525929da7d341ae1""],""When"":""2024-12-30""},{""Name"":""Ashutosh Kumar"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjWGn5hm0zu5wA9W0tUm1YSlk1XHnsCrG2OTS0bUf0lWoWKiEbMH=s120-c-rp-mo-ba4-br100"",""Rating"":5,""Description"":""An Icon of Hope and Medical Excellence\n\nAIIMS Delhi stands as a paragon of healthcare not only within India but across the globe, firmly establishing itself as one of the preeminent medical institutions of our time. Renowned for its exceptional standards of care and unprecedented achievements, AIIMS consistently occupies a distinguished position in worldwide healthcare rankings.\n\nUpon entering the expansive premises, one is immediately struck by the palpable aura of purpose and compassion that permeates the environment. AIIMS is imbued with cutting-edge technology and infrastructure, which together create a milieu conducive to innovative medical practices. The healthcare professionals here are not merely practitioners; they are empathetic caregivers whose commitment to patient welfare is unwavering. Their unparalleled expertise and compassionate demeanor cultivate an atmosphere of healing, comfort, and trust.\n\nAIIMS Delhi does not solely excel in treatment; it is also an eminent research institution that pushes the frontiers of medical knowledge. The facility is dedicated to the advancement of healthcare through rigorous research and innovation, consistently striving to unearth novel treatments and enhance existing therapeutic methodologies. Its plethora of specialized departments offers a comprehensive spectrum of care, turning AIIMS into a sanctuary where millions derive hope and solace during their most trying times.\n\nWhat distinguishes AIIMS is its unwavering commitment to accessibility. Millions from diverse socioeconomic backgrounds turn to this institution, confident in its ability to provide world-class healthcare services. The affordability of its treatments ensures that quality medical attention is not a privilege reserved for the affluent but a right afforded to all. While patient queues may extend, the resolute dedication to serving every individual is a testament to the institution's ethos of humanity and care.\n\nThe hospital’s esteemed global ranking is a testament to the relentless pursuit of excellence exhibited by the entire AIIMS community. It has emerged as a pivotal destination for both national and international patients seeking sophisticated medical interventions. This coveted recognition reflects the tireless efforts of all personnel associated with the institution and underscores the trust bestowed upon AIIMS by families, both near and far, in their times of need.\n\nMoreover, AIIMS makes significant strides in the realm of medical education. It serves as a vibrant epicenter for the training of future healthcare professionals, equipping them with the necessary skills to excel in the field. The institution fosters an educational environment that emphasizes experiential learning, cultivating the understanding that medicine intertwines scientific acumen with profound empathy. As such, the future of healthcare appears promising, buoyed by the initiatives undertaken by AIIMS to nurture the next generation of caregivers.\n\nIn summation, AIIMS Delhi transcends the conventional boundaries of a hospital; it symbolizes a beacon of hope for millions. The esteemed institution’s stature as one of the finest hospitals worldwide is a testament to its unwavering commitment to excellence in healthcare. The dedication manifested by the entire workforce—from medical practitioners to administrative staff—epitomizes a remarkable devotion to enhancing patient welfare.\n\nFor those in pursuit of exemplary medical care, look no further than AIIMS Delhi. This illustrious institution encapsulates the belief that with compassion, expertise, and relentless dedication, we can indeed transform lives.\n\nThank you, AIIMS, for standing as a bastion of hope and healing."",""Images"":[""www.google.com/local/imagery/report/?cb_client=maps_sv.tactile\u0026image_key=!1e10!2sAF1QipOeoJX-2XPkDwUtliXJ2UUaqKWTW7nKqV1KVtwJ\u0026fid=0x0:0x525929da7d341ae1""],""When"":""2024-9-28""},{""Name"":""Chandan Kumar"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjUSCLyvg6dn1nsgX87fPT5fHcz0rK_wTVuWoDkHY5_ZLGuimvq5Qw=s120-c-rp-mo-br100"",""Rating"":2,""Description"":""Services are well as compare to other hospitals but managements are too bad as we thinking there are so much rush in OPD. Chairs are not fullfill the a pesent requirment\n1. Shortage of doctors\n2. Doctors are Excellent but one doctor having too much rush .\n3. Guard are helpful.\nI requesting to mangement please solve some issues as soon as possible like sitting arrangements.\nI hope you all should understand the feeling of pesent."",""Images"":[""www.google.com/local/imagery/report/?cb_client=maps_sv.tactile\u0026image_key=!1e10!2sAF1QipNzLVQVoEn4k4eRfjvwLZiQERfYvNk263xflrma\u0026fid=0x0:0x525929da7d341ae1""],""When"":""2024-11-7""},{""Name"":""Atul singh"",""ProfilePicture"":""https://lh3.googleusercontent.com/a-/ALV-UjWG-MB2R_SkCNz0uP6pm1f0MVhPDJwtrgZmiXtpFqLamZFsYslUig=s120-c-rp-mo-ba3-br100"",""Rating"":5,""Description"":""One of the worlds best and most advanced health care facilities"",""Images"":[""www.google.com/local/imagery/report/?cb_client=maps_sv.tactile\u0026image_key=!1e10!2sAF1QipOaLA-UwdFK_P9OseHMPAhZQ2IqoTDPEbMNQpBv\u0026fid=0x0:0x525929da7d341ae1""],""When"":""2024-9-15""}]",
